EXCLUIR,ID,Codigo,Nome,Categoria,Unidade
,69e4745e-b9c7-49fd-924d-0331e209e147,9262_boqueiraw,Saco P/ Lixo 60Lt,Limpeza,und
,6a251b31-1580-4e17-a0c7-811e1460aa71,1001_boqueiraw,Saco P/Lixo 200L C/50,Limpeza,und
,59aca120-e8b6-4586-a83c-f7241c9bfb0d,7891515220983_boqueiraw,Salsicha,Bruto,kg
,192da99a-64b3-4bb2-8684-db7aeab3ecef,9159_boqueiraw,Saponáceo Cremoso,Limpeza,und
,77c191a3-fca2-4384-82c0-b650a994cedf,7894900180503_boqueiraw,Schweppes Original Lata,Bebidas,und
,08485c7f-4bc6-403b-a355-da583533ba3a,7894900681017_boqueiraw,Sprite Lata,Bebidas,und
,868fe508-75a8-4052-b44f-30b6c70ad931,7894900060010_boqueiraw,Sprite Zero Açúcar Lata,Bebidas,und
,44decb41-8108-49bf-ab5a-cfef4b474f31,7894900079838_boqueiraw,Sprite Zero Lata,Bebidas,und
,db881433-77ee-4bb4-a752-9717881571d7,001900_boqueiraw,Tempero do Lucão,Processado,kg
,fed4d085-deed-4545-a49f-926e13302d21,000900_boqueiraw,Tomate Triturado,Processado,kg
